TRAPPIST-1,23:06:29.36,-05:02:29.2
Kepler-113 b,19:11:59.492,+50:56:39.6
Kepler-391 b,+19:22:29.24,+51:03:26.28
Kepler-391 c,+19:22:29.24,+51:03:26.28
Kepler-155 b,+19:13:59.02,+51:04:54.98
Kepler-155 c,+19:13:59.02,+51:04:54.98
Kepler-232 b,+19:43:15.89,+51:07:18.26
Kepler-232 c,+19:43:15.89,+51:07:18.26
Kepler-419 b,19:41:40.300,+51:11:05.
Kepler-419 c,19:41:40.300,+51:11:05.
HAT-P-37 b,18:57:11.058,+51:16:08.8
Kepler-233 b,+19:45:27.97,+51:19:10.27
Kepler-233 c,+19:45:27.97,+51:19:10.27
Kepler-16 b,19:16:18.175,+51:45:26.7
HAT-P-29 b,02:12:31.494,+51:46:43.5
PH-2 b,19:19:03.264,+51:57:45.36
HD 132406 b,+14:56:54.67,+53:22:58.26
HD 118203 b,+13:34:02.62,+53:43:43.39
HD 139357 b,+15:35:16.22,+53:55:19.70
HD 167042 b,+18:10:31.53,+54:17:09.43
HD 2952 b,+00:33:10.32,+54:53:42.29
WASP-48 b,19:24:38.984,+55:28:23.3
HD 163607 b,+17:53:40.57,+56:23:29.99
HD 163607 c,+17:53:40.57,+56:23:29.99
HD 240210 b,23:10:29.230,+57:01:46.0
HD 102956 b,+11:51:22.52,+57:38:26.80
XO-3 b,04:21:52.705,+57:49:01.8
HD 240237 b,+23:15:42.22,+58:02:35.71
XO-4 b,07:21:33.166,+58:16:05.0
iota Dra b,+15:24:55.78,+58:57:57.68
TrES-5 b,20:20:53.251,+59:26:55.6
omicron UMa b,+08:30:16.03,+60:43:06.35
HD 68988 b,+08:18:22.02,+61:27:38.32
HIP 91258 b,18:36:53.154,+61:42:09.0
HD 220074 b,+23:20:14.37,+61:58:12.51
HD 156279 b,+17:12:23.21,+63:21:06.13
HD 113337 b,+13:01:47.15,+63:36:36.59
4 UMa b,+08:40:12.90,+64:19:40.34
Qatar-1 b,20:13:31.615,+65:09:43.48
42 Dra b,+18:25:58.99,+65:33:48.77
HD 13908 b,+02:18:14.53,+65:35:40.03
HD 13908 c,+02:18:14.53,+65:35:40.03
GJ 687 b,+17:36:26.41,+68:20:32.02
HD 32518 b,+05:09:36.62,+69:38:22.40
HD 17156 b,+02:49:44.32,+71:45:11.92
11 UMi b,+15:17:05.88,+71:49:25.96
bet UMi b,+14:50:42.40,+74:09:19.71
HD 109246 b,+12:32:07.56,+74:29:22.79
HD 7924 b,+01:21:59.20,+76:42:37.32
HD 7924 c,+01:21:59.20,+76:42:37.32
HD 7924 d,+01:21:59.20,+76:42:37.32
HD 104985 b,+12:05:14.74,+76:54:21.45
gamma Cep b,+23:39:20.98,+77:37:55.08
HD 120084 b,+13:42:39.38,+78:03:51.57
HD 33564 b,+05:22:33.78,+79:13:50.72
CoRoT-18 b,06:32:41.379,-00:01:53.7
WASP-54 b,13:41:49.028,-00:07:41.0
CoRoT-19 b,06:28:08.059,-00:10:14.5
HD 130322 b,+14:47:32.80,-00:16:52.08
HD 217786 b,+23:03:08.26,-00:25:45.16
HIP 97233 b,+19:45:41.26,-00:41:47.46
HD 192263 b,+20:13:59.88,-00:52:03.05
24 Sex b,+10:23:28.33,-00:54:07.78
24 Sex c,+10:23:28.33,-00:54:07.78
75 Cet b,+02:32:09.44,-01:02:05.34
WASP-74 b,20:18:09.32,-01:04:32.6
HD 66428 b,+08:03:28.71,-01:09:43.93
HD 19994 b,+03:12:46.32,-01:11:45.36
CoRoT-12 b,06:43:03.762,-01:17:47.1
K2-3 b,11:29:20.388,-01:27:17.23
K2-3 c,11:29:20.388,-01:27:17.23
K2-3 d,11:29:20.388,-01:27:17.23
HD 99109 b,+11:24:17.46,-01:31:43.27
HD 72659 b,+08:34:03.26,-01:34:04.72
WASP-28 b,23:34:27.87,-01:34:48.2
HD 136118 b,+15:18:55.54,-01:35:32.80
WASP-57 b,14:55:16.820,-02:03:27.5
WASP-80 b,20:12:40.178,-02:08:39.1
HD 92788 b,+10:42:48.54,-02:10:59.57
HD 218566 b,+23:09:10.36,-02:15:37.83
HD 114783 b,+13:12:43.87,-02:15:54.23
HD 290327 b,+05:23:21.54,-02:16:38.58
HD 217107 b,+22:58:15.54,-02:23:43.25
HD 217107 c,+22:58:15.54,-02:23:43.25
HD 96063 b,+11:04:44.44,-02:30:47.43
HD 179079 b,+19:11:09.91,-02:38:17.40
HAT-P-46 b,18:01:46.608,-02:58:15.4
CoRoT-1 b,06:48:19.172,-03:06:07.6
HD 107148 b,+12:19:13.52,-03:19:10.82
HAT-P-45 b,18:17:29.578,-03:22:51.7
81 Cet b,+02:37:41.78,-03:23:45.84
WASP-39 b,14:29:18.408,-03:26:40.1
HD 16141 b,+02:35:20.02,-03:33:34.34
HD 86081 b,+09:56:05.96,-03:48:30.47
GJ 849 b,+22:09:39.68,-04:38:26.45
HD 100777 b,+11:35:51.53,-04:45:20.80
HD 7449 b,+01:14:29.42,-05:02:49.38
WASP-106 b,11:05:43.137,-05:04:45.
CoRoT-13 b,06:50:53.070,-05:05:11.1
WASP-69 b,21:00:06.193,-05:05:40.1
HD 126614 A b,+14:26:48.37,-05:10:38.71
HD 52265 b,+07:00:18.10,-05:22:02.49
CoRoT-14 b,06:53:41.810,-05:32:09.7
HD 30562 b,+04:48:36.20,-05:40:24.38
HD 2638 b,+00:29:59.93,-05:45:48.45
HD 222582 b,+23:41:51.62,-05:59:07.75
CoRoT-16 b,18:34:05.913,-06:00:09.3
WASP-35 b,05:04:19.626,-06:13:47.3
CoRoT-17 b,18:34:47.814,-06:36:44.1
Qatar-2 b,13:50:37.409,-06:48:14.4
WASP-77 A b,02:28:37.229,-07:03:38.4
WASP-103 b,16:37:15.57,07:11:00.07
HD 206610 b,+21:43:24.90,-07:24:29.73
HD 210277 b,+22:09:29.82,-07:32:51.22
GJ 581 b,+15:19:27.55,-07:43:19.34
GJ 581 c,+15:19:27.55,-07:43:19.34
GJ 581 e,+15:19:27.55,-07:43:19.34
WASP-36 b,08:46:19.298,-08:01:37.0
HD 1461 b,+00:18:41.62,-08:03:09.54
HD 6718 b,+01:07:48.55,-08:14:01.51
HD 1690 b,+00:21:13.32,-08:16:52.19
HD 38801 b,+05:47:59.21,-08:19:39.06
91 Aqr b,+23:15:53.28,-09:05:15.70
epsilon Eri b,+03:32:56.42,-09:27:29.90
HD 106270 b,+12:13:37.34,-09:30:47.80
BD -08 2823 b,+10:00:47.94,-09:31:00.27
BD -08 2823 c,+10:00:47.94,-09:31:00.27
HD 168443 b,+18:20:03.99,-09:35:42.64
HD 168443 c,+18:20:03.99,-09:35:42.64
WASP-43 b,10:19:38.008,-09:48:22.5
eta Cet b,+01:08:35.26,-10:10:54.94
eta Cet c,+01:08:35.26,-10:10:54.94
HD 11964 b,+01:57:09.82,-10:14:30.61
HD 11964 c,+01:57:09.82,-10:14:30.61
HD 96167 b,+11:05:15.10,-10:17:28.62
HD 28185 b,+04:26:26.27,-10:33:02.43
WASP-75 b,22:49:32.568,-10:40:31.9
HD 44219 b,+06:20:14.28,-10:43:29.89
BD -10 3166 b,10:58:28.780,-10:46:13.3
WASP-50 b,02:54:45.135,-10:53:53.0
HD 168746 b,+18:21:49.80,-11:55:21.05
WASP-44 b,00:15:36.770,-11:56:17.3
WASP-47 b,22:04:48.731,-12:01:07.9
HD 103774 b,+11:56:55.66,-12:06:28.30
HD 82943 b,+09:34:50.73,-12:07:44.84
HD 82943 c,+09:34:50.73,-12:07:44.84
HD 69830 b,+08:18:23.78,-12:37:47.17
HD 69830 c,+08:18:23.78,-12:37:47.17
HD 69830 d,+08:18:23.78,-12:37:47.17
HD 148427 b,+16:28:28.17,-13:23:58.72
WASP-70 A b,21:01:54.477,-13:25:59.7
NGC 2423 3 b,07:37:09.238,-13:54:23.9
HD 33142 b,+05:07:35.55,-13:59:11.63
GJ 876 c,+22:53:16.16,-14:15:43.41
GJ 876 d,+22:53:16.16,-14:15:43.41
GJ 876 e,+22:53:16.16,-14:15:43.41
WASP-26 b,00:18:24.701,-15:16:02.3
HD 86264 b,+09:56:57.85,-15:53:41.86
HIP 2247 b,+00:28:34.52,-16:13:32.84
WASP-49 b,06:04:21.474,-16:57:55.0
HD 212771 b,+22:27:03.12,-17:15:48.25
HD 125612 b,+14:20:53.55,-17:28:52.90
HD 125612 c,+14:20:53.55,-17:28:52.90
WASP-55 b,13:35:01.946,-17:30:12.7
61 Vir b,+13:18:24.97,-18:18:31.00
61 Vir c,+13:18:24.97,-18:18:31.00
61 Vir d,+13:18:24.97,-18:18:31.00
HD 141937 b,+15:52:17.49,-18:26:10.04
HIP 79431 b,+16:12:41.76,-18:52:29.97
WASP-89 b,20:55:35.98,-18:58:16.1
HATS-6 b,05:52:35.231,-19:01:53.
WASP-31 b,11:17:45.357,-19:03:17.2
7 CMa b,+06:36:41.00,-19:15:20.55
WASP-83 b,12:40:36.51,-19:17:03.4
WASP-68 b,20:20:22.98,-19:18:52.9
HD 156846 b,+17:20:34.40,-19:20:00.24
HD 11506 b,+01:52:50.52,-19:30:24.25
HD 11506 c,+01:52:50.52,-19:30:24.25
HD 1666 b,+00:20:52.34,-19:55:51.89
WASP-67 b,19:42:58.512,-19:56:58.4
HATS-9 b,19:23:14.28,-20:09:58.7
WASP-16 b,14:18:43.922,-20:16:31.8
HD 104067 b,+11:59:09.92,-20:21:09.90
HD 202206 b,+21:14:57.79,-20:47:20.11
HD 202206 c,+21:14:57.79,-20:47:20.11
HD 18742 b,+03:00:10.67,-20:48:09.18
HD 204941 b,+21:32:23.68,-20:57:25.63
HATS-5 b,04:28:53.47,-21:28:54.9
HD 204313 b,+21:28:12.18,-21:43:32.14
HD 204313 d,+21:28:12.18,-21:43:32.14
WASP-78 b,04:15:01.505,-22:06:59.1
HATS-10 b,19:37:13.80,-22:12:16.10
HD 60532 b,+07:34:03.21,-22:17:46.25
HD 60532 c,+07:34:03.21,-22:17:46.25
HD 224693 b,+23:59:53.74,-22:25:41.45
HIP 5158 b,+01:06:01.92,-22:27:10.41
HATS-4 b,06:16:26.898,-22:32:48.
HATS-2 b,11:46:57.370,-22:33:46.8
WASP-6 b,23:12:37.751,-22:40:26.1
HIP 12961 b,+02:46:42.70,-23:05:13.04
HATS-1 b,11:42:06.080,-23:21:17.4
GJ 317 b,08:40:59.240,-23:27:23.3
WASP-101 b,06:33:24.26,-23:29:10.2
HD 180902 b,+19:19:17.69,-23:33:29.18
HD 181342 b,+19:21:04.26,-23:37:10.19
WASP-22 b,03:31:16.324,-23:49:10.9
WASP-34 b,11:01:35.894,-23:51:38.3
WASP-20 b,00:20:38.53,-23:56:08.6
HD 98219 b,+11:17:47.64,-23:58:31.35
HD 4732 b,+00:49:13.90,-24:08:11.50
HD 4732 c,+00:49:13.90,-24:08:11.50
HD 179949 b,+19:15:33.15,-24:10:44.78
HD 30856 b,+04:50:17.85,-24:22:07.66
HATS-3 b,20:49:49.800,-24:25:43.7
GJ 3293 b,04:28:35.720,-25:10:08.
GJ 3293 c,04:28:35.720,-25:10:08.
HD 134987 b,+15:13:28.93,-25:18:32.99
HD 134987 c,+15:13:28.93,-25:18:32.99
HD 77338 b,+09:01:12.47,-25:31:35.06
HD 207832 b,+21:52:36.20,-26:01:34.36
HD 207832 c,+21:52:36.20,-26:01:34.36
WASP-61 b,05:01:11.916,-26:03:14.9
HD 4208 b,+00:44:26.45,-26:30:57.76
HD 216770 b,+22:55:53.56,-26:39:29.99
HD 33283 b,+05:08:00.98,-26:47:50.49
MOA-2009-BLG-319L b,18:06:58.000,-26:49:11.0
HD 192310 b,+20:15:16.58,-27:01:57.13
HD 192310 c,+20:15:16.58,-27:01:57.13
HD 145377 b,+16:11:36.43,-27:04:41.55
OGLE-2011-BLG-0251 b,17:38:14.18,-27:08:10.1
MOA-2007-BLG-192L b,18:08:03.798,-27:09:00.2
WASP-25 b,13:01:26.374,-27:31:19.9
HD 47186 b,+06:36:08.77,-27:37:17.97
HD 47186 c,+06:36:08.77,-27:37:17.97
WASP-17 b,15:59:50.947,-28:03:42.3
HD 171238 b,+18:34:43.69,-28:04:19.37
HD 164604 b,+18:03:06.95,-28:33:37.98
HD 20782 b,+03:20:03.35,-28:51:14.09
OGLE235-MOA53 b,18:05:16.350,-28:53:42.0
MOA-2007-BLG-400L b,18:09:41.980,-29:13:26.9
OGLE-TR-56 b,17:56:35.510,-29:32:21.2
Fomalhaut b,+22:57:38.83,-29:37:18.61
HD 90156 b,+10:23:55.30,-29:38:44.78
MOA-bin-1L b,17:51:10.000,-29:47:38.0
HD 169830 b,+18:27:49.48,-29:49:00.85
HD 169830 c,+18:27:49.48,-29:49:00.85
OGLE-TR-10 b,17:51:28.250,-29:52:34.9
HD 43197 b,+06:13:35.56,-29:53:50.29
HD 73256 b,+08:36:23.14,-30:02:16.03
OGLE-2006-BLG-109L b,17:52:34.550,-30:05:15.7
OGLE-2006-BLG-109L c,17:52:34.550,-30:05:15.7
WASP-72 b,02:44:09.600,-30:10:09.1
OGLE-05-390L b,17:54:19.200,-30:22:38.0
WASP-79 b,04:25:29.021,-30:36:01.5
WASP-41 b,12:42:28.497,-30:38:23.5
OGLE-05-169L b,18:06:05.320,-30:43:57.5
GJ 3634 b,10:58:35.133,-31:08:38.2
GJ 3341 b,05:15:46.680,-31:17:45.
MOA-2010-BLG-477L b,18:06:07.450,-31:27:16.5
HD 45364 b,+06:25:38.44,-31:28:51.33
HD 45364 c,+06:25:38.44,-31:28:51.33
HD 205739 b,+21:38:08.39,-31:44:14.23
HD 114729 b,+13:12:44.40,-31:52:21.36
WASP-15 b,13:55:42.705,-32:09:34.6
OGLE-2007-BLG-368L b,17:56:25.960,-32:14:14.7
GJ 433 b,+11:35:27.00,-32:32:16.44
WASP-64 b,06:44:27.610,-32:51:30.2
HD 181720 b,+19:22:52.92,-32:55:04.96
HD 93083 b,+10:44:20.98,-33:34:35.96
HD 20868 b,+03:20:42.49,-33:43:49.21
HD 50499 b,+06:52:02.07,-33:54:56.62
MOA-2009-BLG-387L b,17:53:50.800,-33:59:25.0
WASP-94 A b,20:55:07.949,-34:08:07.9
WASP-94 B b,20:55:07.949,-34:08:07.9
WASP-98 b,03:53:42.90,-34:19:41.7
HD 73267 b,+08:36:17.85,-34:27:37.00
HD 16417 b,+02:36:58.62,-34:34:38.44
OGLE-05-071L b,17:50:09.000,-34:40:23.0
MOA-2008-BLG-310L b,17:54:14.530,-34:46:40.9
WASP-66 b,10:32:54.001,-34:59:23.3
GJ 667 C b,17:18:58.838,-34:59:48.6
GJ 667 C c,17:18:58.838,-34:59:48.6
MOA-2009-BLG-266L b,17:48:06.000,-35:00:19.0
WASP-8 b,23:59:36.068,-35:01:52.8
HD 114386 b,+13:10:39.92,-35:03:14.37
HIP 67851 b,+13:53:52.27,-35:18:51.09
HD 190647 b,+20:07:19.69,-35:32:17.27
HD 117207 b,+13:29:21.26,-35:34:14.96
WASP-45 b,00:20:56.997,-35:59:53.8
HD 208487 b,+21:57:19.77,-37:45:48.00
HD 187085 b,+19:49:33.96,-37:46:49.07
HD 114613 b,+13:12:03.47,-37:48:11.29
HIP 105854 b,+21:26:22.75,-37:49:45.85
HD 4113 b,+00:43:12.56,-37:58:56.47
WASP-63 b,06:17:20.746,-38:19:23.8
HD 147513 b,+16:24:01.24,-39:11:34.76
WASP-7 b,20:44:10.219,-39:13:30.8
HD 6434 b,+01:04:40.28,-39:29:12.97
HD 70642 b,+08:21:28.29,-39:42:21.45
WASP-29 b,23:51:31.085,-39:54:24.2
HD 162020 b,+17:50:38.34,-40:19:05.84
HD 125595 b,+14:21:23.62,-40:23:37.62
HD 102365 b,+11:46:32.25,-40:30:04.80
HD 109749 b,+12:37:16.50,-40:48:43.57
HD 8535 b,+01:23:37.19,-41:16:10.67
WASP-5 b,23:57:23.759,-41:16:37.7
HD 73526 b,+08:37:16.53,-41:19:10.18
HD 73526 c,+08:37:16.53,-41:19:10.18
HD 75289 b,+08:47:40.41,-41:44:10.46
WASP-4 b,23:34:15.082,-42:03:41.1
WASP-42 b,12:51:55.571,-42:04:24.9
WASP-23 b,06:44:30.650,-42:45:41.0
HD 20794 b,+03:19:53.22,-43:04:17.58
HD 20794 c,+03:19:53.22,-43:04:17.58
HD 20794 d,+03:19:53.22,-43:04:17.58
HD 159868 b,+17:38:59.71,-43:08:42.37
HD 159868 c,+17:38:59.71,-43:08:42.37
HD 83443 b,+09:37:11.81,-43:16:18.88
HD 153950 b,+17:04:30.78,-43:18:33.93
HD 85512 b,+09:51:06.68,-43:30:05.90
HD 143361 b,+16:01:50.48,-44:26:03.29
WASP-19 b,09:53:40.077,-45:39:33.0
WASP-18 b,+01:37:25.01,-45:40:40.55
HD 148156 b,+16:28:17.25,-46:19:03.71
GJ 674 b,+17:28:39.46,-46:53:34.99
HD 117618 b,+13:32:25.53,-47:16:15.82
WASP-96 b,00:04:11.14,-47:21:38.2
HD 5388 b,+00:55:11.96,-47:24:19.92
WASP-95 b,22:29:49.73,-48:00:11.0
WASP-88 b,20:38:02.70,-48:27:43.2
HD 48265 b,+06:40:01.70,-48:32:31.30
HD 156411 b,+17:19:51.43,-48:32:55.71
tau Gru b,+22:53:37.74,-48:35:53.12
GJ 832 b,+21:33:34.02,-49:00:25.26
GJ 832 c,+21:33:34.02,-49:00:25.26
HD 142 b,+00:06:18.66,-49:04:30.34
HD 213240 b,+22:31:00.49,-49:25:58.08
HD 85390 b,+09:50:02.47,-49:47:24.44
HD 330075 b,+15:49:37.90,-49:57:47.87
CoRoT-28 b,18:34:45.21,5:34:25.72
WASP-99 b,02:39:35.44,-50:00:28.8
WASP-117 b,02:27:06.097,-50:17:04.
HD 103197 b,+11:52:53.05,-50:17:34.23
HD 28254 b,+04:24:50.77,-50:37:18.63
iota Hor b,+02:42:33.16,-50:48:02.98
GJ 86 b,+02:10:24.00,-50:49:31.13
beta Pic b,+05:47:17.08,-51:04:00.17
GJ 676 A b,+17:30:11.45,-51:38:11.49
mu Ara b,+17:44:08.72,-51:50:00.92
mu Ara c,+17:44:08.72,-51:50:00.92
mu Ara d,+17:44:08.72,-51:50:00.92
HD 23079 b,+03:39:43.28,-52:54:56.21
GJ 163 b,+04:09:14.65,-53:22:30.41
GJ 163 c,+04:09:14.65,-53:22:30.41
GJ 163 d,+04:09:14.65,-53:22:30.41
HD 10647 b,+01:42:29.15,-53:44:26.07
HD 63765 b,+07:47:49.57,-54:15:48.48
WASP-97 b,01:38:25.04,-55:46:19.4
WASP-46 b,21:14:56.861,-55:52:18.4
HD 121504 b,+13:57:17.50,-56:02:23.42
HD 154672 b,+17:10:04.88,-56:26:56.28
HD 215497 b,+22:46:36.81,-56:35:57.79
HD 215497 c,+22:46:36.81,-56:35:57.79
HD 2039 b,+00:24:20.19,-56:39:00.30
HD 154857 b,+17:11:15.63,-56:40:50.38
HD 154857 c,+17:11:15.63,-56:40:50.38
HD 101930 b,+11:43:30.09,-58:00:27.83
HD 30177 b,+04:41:54.30,-58:01:14.62
WASP-73 b,21:19:47.91,-58:08:56.0
HD 221287 b,+23:31:20.14,-58:12:34.99
HD 102117 b,+11:44:50.53,-58:42:12.74
epsilon Ret b,+04:16:29.08,-59:18:06.30
HD 27894 b,+04:20:46.84,-59:24:41.40
CoRoT-29 b,18:35:36.50,6:28:46.99
HD 40307 b,+05:54:04.30,-60:01:23.97
HD 40307 c,+05:54:04.30,-60:01:23.97
HD 40307 d,+05:54:04.30,-60:01:23.97
HD 23127 b,+03:39:23.55,-60:04:41.49
HD 142415 b,+15:57:40.92,-60:12:00.03
HD 10180 c,+01:37:53.59,-60:30:41.55
HD 10180 d,+01:37:53.59,-60:30:41.55
HD 10180 e,+01:37:53.59,-60:30:41.55
HD 10180 f,+01:37:53.59,-60:30:41.55
HD 10180 g,+01:37:53.59,-60:30:41.55
HD 10180 h,+01:37:53.59,-60:30:41.55
HD 196050 b,+20:37:51.94,-60:38:03.57
alpha Cen B b,+14:39:39.39,-60:50:22.13
OGLE-TR-182 b,11:09:18.710,-61:05:42.9
OGLE2-TR-L9 b,11:07:55.181,-61:08:46.5
OGLE-TR-111 b,10:53:17.910,-61:24:20.3
HD 147018 b,+16:23:00.37,-61:41:16.78
HD 147018 c,+16:23:00.37,-61:41:16.78
NGC 4349 127 b,12:24:35.474,-61:49:11.6
OGLE-TR-132 b,10:50:34.720,-61:57:25.9
OGLE-TR-211 b,10:40:14.390,-62:27:20.2
HD 65216 b,+07:53:41.48,-63:38:51.64
WASP-62 b,05:48:33.594,-63:59:18.2
HD 108147 b,+12:25:46.51,-64:01:18.98
WASP-100 b,04:35:50.32,-64:01:37.3
HD 25171 b,+03:55:49.24,-65:11:12.74
HD 4308 b,+00:44:39.04,-65:38:51.78
HD 7199 b,+01:10:47.06,-66:11:16.31
HD 181433 b,+19:25:09.90,-66:28:09.74
HD 181433 c,+19:25:09.90,-66:28:09.74
HD 181433 d,+19:25:09.90,-66:28:09.74
HD 76700 b,+08:53:55.93,-66:48:04.63
HD 11977 b,+01:54:56.01,-67:38:50.93
HD 111232 b,+12:48:51.71,-68:25:31.53
HD 95086 b,+10:57:03.09,-68:40:02.56
HD 175167 b,+19:00:00.85,-69:56:37.59
HD 216437 b,+22:54:39.56,-70:04:25.99
HD 108341 b,+12:27:31.62,-71:25:23.73
HD 131664 b,+15:00:06.04,-73:32:07.47
HD 38283 b,+05:37:01.73,-73:41:56.70
HD 212301 b,+22:27:30.71,-77:43:03.72
HD 63454 b,+07:39:21.91,-78:16:43.95
HD 1237 b,+00:16:11.24,-79:51:03.75
HD 137388 b,+15:35:40.09,-80:12:16.90
HD 39091 b,+05:37:08.79,-80:28:18.03
HD 142022 b,+16:10:16.98,-84:13:53.53